Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
GSPTSE,6/11/1984,2270.300049,2270.300049,2250.699951,2250.899902,2245.183838,1868.246919
GSPTSE,6/12/1984,2247.300049,2247.300049,2232.699951,2236,2230.321777,1855.88
GSPTSE,6/13/1984,2242.600098,2245.100098,2237.699951,2242.600098,2236.905029,1861.358081
GSPTSE,6/14/1984,2241.300049,2241.899902,2226.600098,2226.600098,2220.945801,1848.078081
GSPTSE,6/15/1984,2225.5,2226.600098,2216.600098,2218.5,2212.866455,1841.355
GSPTSE,6/18/1984,2209.800049,2227,2208.399902,2225.800049,2220.147705,1847.414041
GSPTSE,6/19/1984,2227.5,2232.300049,2225.399902,2225.399902,2219.748535,1847.081919
GSPTSE,6/20/1984,2213,2233.199951,2210.300049,2232.899902,2227.229492,1853.306919
GSPTSE,6/21/1984,2230.199951,2242.699951,2230.199951,2239.5,2233.812744,1858.785
GSPTSE,6/22/1984,2234.800049,2247.699951,2234.600098,2247.699951,2241.991943,1865.590959
GSPTSE,6/25/1984,2245.5,2246.899902,2238.800049,2238.800049,2233.114746,1858.204041
GSPTSE,6/26/1984,2234.5,2234.5,2224.5,2224.5,2218.850586,1846.335
GSPTSE,6/27/1984,2222.600098,2223.5,2209.399902,2210.399902,2204.786621,1834.631919
GSPTSE,6/28/1984,2209.600098,2213.300049,2209.600098,2210.699951,2205.085693,1834.880959
GSPTSE,6/29/1984,2210.5,2223.600098,2210.5,2220.899902,2215.259766,1843.346919
GSPTSE,7/3/1984,2219,2220.800049,2215.399902,2220.600098,2214.961182,1843.098081
GSPTSE,7/4/1984,2217.600098,2218.100098,2213.100098,2218.100098,2212.467285,1841.023081
GSPTSE,7/5/1984,2217.199951,2219.899902,2212.100098,2213.199951,2207.57959,1836.955959
GSPTSE,7/6/1984,2208.399902,2208.399902,2197.300049,2205.300049,2199.699951,1830.399041
GSPTSE,7/9/1984,2201.699951,2207.399902,2198.600098,2206.699951,2201.096191,1831.560959
