Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
HSI,8/6/1996,11193.2002,11218.2002,11052.40039,11134.59961,11134.59961,1447.497949
HSI,8/7/1996,11097.79981,11154.59961,11051.2002,11127.5,11127.5,1446.575
HSI,8/8/1996,11136,11178.79981,11136,11164.40039,11164.40039,1451.372051
HSI,8/9/1996,11162.40039,11162.40039,11072.79981,11104,11104,1443.52
HSI,8/12/1996,11102,11212.29981,11098.90039,11181.90039,11181.90039,1453.647051
HSI,8/13/1996,11186,11261,11152.29981,11165.7002,11165.7002,1451.541026
HSI,8/14/1996,11127.40039,11172.79981,11096.29981,11166.79981,11166.79981,1451.683975
HSI,8/15/1996,11178.40039,11212.40039,11130.90039,11158.40039,11158.40039,1450.592051
HSI,8/16/1996,11159,11195.09961,11131,11176,11176,1452.88
HSI,8/19/1996,11174.90039,11263.09961,11174.90039,11213.5,11213.5,1457.755
HSI,8/20/1996,11219.09961,11312.5,11219.09961,11312.5,11312.5,1470.625
HSI,8/21/1996,11348.7002,11436.5,11334.79981,11436.5,11436.5,1486.745
HSI,8/22/1996,11428.7002,11478.79981,11386.59961,11478.79981,11478.79981,1492.243975
HSI,8/23/1996,11491.79981,11494.29981,11390.29981,11424.59961,11424.59961,1485.197949
HSI,8/27/1996,11390.5,11390.5,11305.29981,11338.90039,11338.90039,1474.057051
HSI,8/28/1996,11325.59961,11379.5,11295.5,11379.5,11379.5,1479.335
HSI,8/29/1996,11397.79981,11451.40039,11328.2002,11328.2002,11328.2002,1472.666026
HSI,8/30/1996,11283.2002,11283.2002,11153.09961,11159,11159,1450.67
HSI,9/2/1996,11123.7002,11123.7002,11046.79981,11106.59961,11106.59961,1443.857949
HSI,9/3/1996,11099,11135.7002,10937.59961,10957.2002,10957.2002,1424.436026
HSI,9/4/1996,10990.90039,11087.40039,10990.90039,11077,11077,1440.01
HSI,9/5/1996,11079.90039,11101.59961,11017.2002,11040.5,11040.5,1435.265
HSI,9/6/1996,11010.09961,11025.59961,10930.40039,11025.59961,11025.59961,1433.327949
HSI,9/9/1996,11051.5,11215,11051.5,11212.59961,11212.59961,1457.637949
