Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
N225,1/7/1991,24036.99023,24036.99023,23735.58984,23736.57031,23736.57031,237.3657031
N225,1/8/1991,23707.69922,23707.69922,22859.2793,22897.83984,22897.83984,228.9783984
N225,1/9/1991,22846.75977,23098.74023,22662.49023,22969.26953,22969.26953,229.6926953
N225,1/10/1991,22924.75,23184.75,22711.91016,23047.35938,23047.35938,230.4735938
N225,1/11/1991,23077.69922,23241.01953,22855.75977,23241.01953,23241.01953,232.4101953
N225,1/14/1991,23197.96094,23238.86914,22911.15039,23213.23047,23213.23047,232.1323047
N225,1/16/1991,23140.23047,23140.23047,22382.23047,22442.69922,22442.69922,224.4269922
N225,1/17/1991,22403.07031,23446.81055,22099.51953,23446.81055,23446.81055,234.4681055
N225,1/18/1991,23479.40039,24050.30078,23322.53906,23808.30078,23808.30078,238.0830078
N225,1/21/1991,23755.25977,23755.25977,23352.18945,23352.18945,23352.18945,233.5218945
N225,1/22/1991,23372.15039,23497.41016,23201.67969,23253.65039,23253.65039,232.5365039
N225,1/23/1991,23173.21094,23173.21094,22951.56055,23050.09961,23050.09961,230.5009961
N225,1/24/1991,23114.39063,23394.56055,23114.39063,23269.00977,23269.00977,232.6900977
N225,1/25/1991,23342.99023,23607.99023,23342.99023,23573.25,23573.25,235.7325
N225,1/28/1991,23574.91992,23574.91992,23463.15039,23569.43945,23569.43945,235.6943945
N225,1/29/1991,23562.68945,23608.5,23422.24023,23460.11914,23460.11914,234.6011914
N225,1/30/1991,23444.16016,23554.75977,23405.40039,23409.60938,23409.60938,234.0960938
N225,1/31/1991,23477.43945,23654.68945,23222.36914,23293.14063,23293.14063,232.9314063
N225,2/1/1991,23270.63086,23270.63086,22859.65039,23156.69922,23156.69922,231.5669922
N225,2/4/1991,23178.82031,23294.01953,23134.67969,23287.35938,23287.35938,232.8735938
N225,2/5/1991,23367.03906,23821.86914,23367.03906,23821.57031,23821.57031,238.2157031
N225,2/6/1991,23877.07031,24310.84961,23877.07031,23952.03906,23952.03906,239.5203906
N225,2/7/1991,24001.16992,24162.2793,23926.30078,24104.42969,24104.42969,241.0442969
N225,2/8/1991,24114.41992,24384.07031,24091.60938,24296.08008,24296.08008,242.9608008
N225,2/12/1991,24333.07031,25074.28906,24333.07031,24935.00977,24935.00977,249.3500977
N225,2/13/1991,24932.94922,25225.80078,24881.4707,25139.4707,25139.4707,251.394707
N225,2/14/1991,25184.99023,25406.2793,25184.99023,25356.36914,25356.36914,253.5636914
N225,2/15/1991,25321.91016,25344.51953,25010.4707,25343.74023,25343.74023,253.4374023
N225,2/18/1991,25378.39063,26230.00977,25378.39063,26230.00977,26230.00977,262.3000977
N225,2/19/1991,26243.91016,26481.75,26051.7793,26166.98047,26166.98047,261.6698047
N225,2/20/1991,26153.4707,26340.32031,25836.06055,26198.78906,26198.78906,261.9878906
N225,2/21/1991,26137.0293,26217.18945,25954.28906,26024.36914,26024.36914,260.2436914
N225,2/22/1991,26059.2207,26264.56055,25902.81055,25902.81055,25902.81055,259.0281055
N225,2/25/1991,25908.18945,26466.76953,25852.10938,26462.75977,26462.75977,264.6275977
N225,2/26/1991,26499.75977,26709.80078,26255.46094,26282.96094,26282.96094,262.8296094
N225,2/27/1991,26229.13086,26229.13086,25986.68945,26094.25,26094.25,260.9425
N225,2/28/1991,26176.75977,26623.66992,26176.75977,26409.2207,26409.2207,264.092207
N225,3/1/1991,26389.25,26389.25,25856.71094,25881.57031,25881.57031,258.8157031
N225,3/4/1991,25851.91016,26028.9707,25812.57031,25976.01953,25976.01953,259.7601953
N225,3/5/1991,25980.51953,26148.86914,25896.74023,25913.48047,25913.48047,259.1348047
N225,3/6/1991,25981.69922,26389.93945,25981.69922,26382.99023,26382.99023,263.8299023
N225,3/7/1991,26364.68945,26478.11914,26244.30078,26397.96094,26397.96094,263.9796094
N225,3/8/1991,26432.32031,26607.51953,26379.4707,26607.51953,26607.51953,266.0751953
N225,3/11/1991,26630.0293,26753.83984,26610.16016,26669.36914,26669.36914,266.6936914
N225,3/12/1991,26643.92969,26744.53906,26605.66016,26727.41992,26727.41992,267.2741992
N225,3/13/1991,26692.08008,26692.08008,26389.06055,26418.32031,26418.32031,264.1832031
N225,3/14/1991,26478.32031,26591.4707,26366.44922,26542.33008,26542.33008,265.4233008
N225,3/15/1991,26560.63086,27003.42969,26521.88086,26843.09961,26843.09961,268.4309961
N225,3/18/1991,26916.2207,27270.33008,26916.2207,27146.91016,27146.91016,271.4691016
N225,3/19/1991,27065.9707,27193.31055,26926.89063,27006.66016,27006.66016,270.0666016
N225,3/20/1991,26903.09961,26903.09961,26448.57031,26449.34961,26449.34961,264.4934961
N225,3/22/1991,26513.75,26782.7207,26513.75,26613.18945,26613.18945,266.1318945
N225,3/25/1991,26602.61914,26802.7793,26602.61914,26645.78906,26645.78906,266.4578906
N225,3/26/1991,26673.64063,26708.06055,26323.40039,26339.38086,26339.38086,263.3938086
N225,3/27/1991,26431.80078,26609.42969,26104.65039,26104.65039,26104.65039,261.0465039
N225,3/28/1991,26026.92969,26316.30078,25785.9707,26206.91992,26206.91992,262.0691992
N225,3/29/1991,26211.75977,26339.7793,26085.41016,26292.03906,26292.03906,262.9203906
N225,4/1/1991,26237.78906,26237.78906,25914.28906,26007.40039,26007.40039,260.0740039
N225,4/2/1991,25955.61914,26274.58008,25913.59961,26252,26252,262.52
N225,4/3/1991,26322.71094,26803.42969,26322.71094,26780.06055,26780.06055,267.8006055
N225,4/4/1991,26752.64063,26792.67969,26608.43945,26689.81055,26689.81055,266.8981055
N225,4/5/1991,26708.06055,26787.25977,26598.18945,26767.33008,26767.33008,267.6733008
N225,4/8/1991,26765.25977,26825.33008,26591.48047,26607.65039,26607.65039,266.0765039
N225,4/9/1991,26559.61914,26586.74023,26317.39063,26317.39063,26317.39063,263.1739063
N225,4/10/1991,26270.53906,26369.75977,26190.55078,26268.85938,26268.85938,262.6885938
